,label,label_desc,sentence,keywords
9653,100,news_story,无意间看到老公和一美女状态亲昵，还一起去了他们订婚的地方,"达芙妮,女人,棒球帽,帝爵,安夏儿"
9655,104,news_finance,中经观点：“美对华贸易吃亏论”可以休矣,"货币体系,美国经济,铸币税,通货膨胀,苹果公司,贸易赤字"
9656,104,news_finance,手机APP“直连央行征信”不靠谱 易被盗用信息,"中关村,北京银行,中国人民银行,征信,央行,征信报告,APP"
9658,101,news_culture,至今无法复制的古代黑科技，让现代人汗颜，最后一件至今还能运作,"转轮藏,诸葛亮,黄月英,越王勾践剑,文物"
9659,102,news_entertainment,49岁伊能静和47岁杨钰莹，这差距真大！网友：差的不只是一个老公,"伊能静,女星,娱乐圈,公主,杨钰莹"
9662,102,news_entertainment,皮肤病：痤疮真实案例,"广告片,小萌,皮肤病,粉刺,痤疮"
9663,104,news_finance,7月1号支付宝和银行取消直联，余利宝余额宝的钱怎么免费转出？,"提现,余额宝,网联,余利宝,支付宝"
9666,103,news_sports,LOL荣获艾美奖 鸟巢巨龙夺得国际殊荣,"英雄联盟,艾美奖,体育艾美奖,格莱美奖,体育赛事"
9667,102,news_entertainment,三国时，将军眼睛被人射中，然其吞眼珠，诛敌将 此将何人？,"三国演义,诛敌,吞眼珠"
9669,102,news_entertainment,放羊的星星：阿星被坏人带走，雅若这个坏女人居然不报警,"雅若,阿星,坏女人,放羊的星星"
9671,107,news_car,「资讯」中国轮胎企业全部中枪，一条多交623元税！,"轮胎,韩泰轮胎,卡客车轮胎,反倾销税,欧盟委员会"
9672,102,news_entertainment,巧用PicsArt，1分钟制作《复仇者联盟3》人物粒子消失特效,"iOS,电影,粉丝,复仇者联盟3"
9673,101,news_culture,甘肃省作家李萍散文集《这一世花开》出版发行,"积石山漫笔,这一世花开,散文集,散文诗,临夏州,李萍,独舞者,爱有多深,给风一个理由,东乡纪事,中国作家协会"
9674,104,news_finance,外汇初学者怎么玩外汇？,
9675,102,news_entertainment,韩瑜：出席活动，网友：真羡慕这个肌肉男！女神身材太好了,"女神身材太,真羡慕,肌肉男,韩瑜,女神"
9677,104,news_finance,生意社：5月8日中国金藏物资电解钴报价下跌,
9680,103,news_sports,5月11日EDG.M完封WF.D斩获六连胜，排名从东部第五跃升第三，对于这一场比赛你怎么看？,
9684,106,news_house,探讨：售楼处如何缴纳房产税,
9685,106,news_house,炒房客：我们不炒房，我们只是在理财,"买房,柳传志,房价,孙宏斌,房地产"
9688,104,news_finance,5W的资金交易恒指，这样弄行不？（5月3日的记录）,
9690,104,news_finance,山东第九次出征深圳文博会，309个文化产业项目参展,"　　,　　山东,文化产业,青岛银行,文化"
9692,102,news_entertainment,有哪些“本来以为已经是巅峰，没想到却刚刚开始”的例子？,"改革开放,世博会,奥运会,东欧剧变,SARS"
9693,101,news_culture,不离不弃的乡土本色,"安村,父老乡亲,乡土,不是麦子就是豆子,春尖尖,青藏高原,杨秀珍"
9694,107,news_car,毛主席的专用防弹车，你听都没听过，价值几个亿！,"防弹车,克莱斯勒,毛主席,CA72,防弹玻璃,C69"
9702,104,news_finance,「迅解区块链」EOS大瀑布，今夜无眠，公链3.0，伪概念？,"雅虎,比特币,EOS,Facebook,区块链,公链"
9706,102,news_entertainment,安以轩白衬衣领口微敞大秀美腿玩性感 反戴棒球帽变“不良少女”,"安以轩,棒球帽,白衬衣,手提包,北京机场"
9707,100,news_story,兄弟俩景点里面扮“铜人”，合一次影收费20元，一天能赚好几千,
9708,101,news_culture,要怎样学好平面设计？,
9709,104,news_finance,达州成功产出首批玄武岩纤维原丝,"玄武岩纤维,玄武岩纤维原丝,达州市,达州,张家瑜"
9713,102,news_entertainment,名著之所以经典，是因为不论怎么拍都好看，没想到小李子还演过他,"小李子,电影,简奥斯汀,雾都孤儿,歌剧魅影"
9714,107,news_car,为什么飞机一定要飞到一万米的高空？真实原因很多人都不知道,"飞机,飞行高度,平流层"
9715,106,news_house,三年后的武汉，你能想象吗？！,"长江,武汉,汉阳,独角兽,中信泰富"
9717,102,news_entertainment,哇！想不到其貌不扬的李诞的女朋友这么漂亮啊，颜值高又有辨识度,"颜值,脱口秀,吐槽大会,李诞,辨识度"
9719,103,news_sports,现在的郭艾伦加赵继伟与当年巅峰时期的孙悦加陈江华，哪组更强？,
9720,103,news_sports,曾沛慈亮相某活动，网友：这么可爱犯规了，笑容超有感染力！,"笑容超,曾沛慈亮相,可爱犯规,感染力,曾沛慈"
9721,104,news_finance,涨停早知道，晚间利好消息汇总！,"动力电池,股票,格林美,动力电池回收,退役动力电池"
9722,102,news_entertainment,建筑工地中，抹灰出现空鼓开裂，一般是什么原因造成的，怎么样才能预防？,
9723,104,news_finance,最近出现的倒闭潮是家装行业死亡的先兆么？,"精装房,大型家装公司,家装行业,毛坯房,家装公司"
9724,102,news_entertainment,易术新作《你是千堆雪我是长街》多家公司争版权,"梁振华,影视公司,借我春风如少年,易术,再见萤火虫,不再让你孤单,萌芽,余生请多指教,千堆雪,蝴蝶飞不过沧海,没有梦想，何必远方"
9725,104,news_finance,楼市调控是个长期博弈,"鸣金收兵,楼市调控,重复博弈,首套房,长效机制"
9726,106,news_house,现在的二手房房东，为什么等了很久都卖不掉房子？原因很简单,"房价,高房价,楼市调控,一手房,购买力"
9730,106,news_house,马云又出惊人言论，8年后房子最不值钱，他的话可信吗？,
9734,106,news_house,地产与医疗如何协同？地产以医疗推动消费升级，医疗借地产产业化,"医疗,Airdoc,罗晓斌,医疗机构,中国地产,地产商"
9736,102,news_entertainment,“福禄寿”三星齐聚成都 2018川港演艺明星感恩音乐足球赛全明星名单火热出炉,"陈百祥,福禄寿,张兆辉,李子雄,曾志伟"
9739,104,news_finance,陕西榆林和内蒙鄂尔多斯经济实力、城市建设的差距在哪里？,"增加值,民营企业,中石油,鄂尔多斯市,榆林,中石化,鄂尔多斯"
9742,106,news_house,租房惨剧！亚裔父女房东驱赶71岁房客，当场遭枪杀,"房客,左轮手枪,马林县,房东,枪击案"
9743,107,news_car,优步测试车辆致死事件初步调查结果：决策软件行动不及时！,"Dara,NHTSA,NTSB,优步,自动驾驶车辆"
9745,103,news_sports,QGhappy和GK再次交手 首发阵容成迷 GK能否终止三连败？,"三连败,黄大仙,GK,Hurt,QGhappy"
9749,101,news_culture,广西哪里有适合女士清修的寺庙？,
9751,103,news_sports,国安2-2富力的比赛中，主裁王迪的两次判罚引起争议，您认为是否合理？,
9755,101,news_culture,怎么去做新零售？和传统普通零售有什么区别吗？,
9759,107,news_car,尴尬，半路没油！我们应该如何处理呢？,"加油站,经济时速,大排量"
9760,100,news_story,戒毒的过程,"海洛因,毒瘾发作,止痛药,注射器,瘾君子"
9763,107,news_car,现在汽车还需要原地热车吗？,
9764,106,news_house,热点二线城市楼市发展趋势研判——杭州、南京、武汉、成都、重庆,"武汉,一线城市,成都,城市市场,房价,南京,房地产市场,杭州,碧桂园,二线城市,重庆"
9765,102,news_entertainment,「周少有画说」干货第15期，周少教你画女神黑寡妇，画的超棒哦！,"Johansson,迷失东京,复仇者联盟,Lucy,黑寡妇,Scarlett"
9768,106,news_house,怒花1050万元买了一个地下室，为了孩子他拼了！,"学区房,地下室,法国人,北京四中,西什库小学"
9771,106,news_house,大武汉系列之52：武汉塑料三厂,"周国献,塑料,大武汉,武汉,黑镜头,武汉市志·工业志"
9772,107,news_car,进藏最牛的车，这几个想都不敢想！,"土耳其,奇瑞QQ,MINI,COOPER,五菱宏光"
9773,102,news_entertainment,《无法律师》举行发布会 李准基徐睿知等出席,"崔民秀,徐睿知,无法律师,李慧英,李准基,永登浦区"
9774,101,news_culture,上联：一度春风一度愁，黄花落尽，如何对下联？,
9775,106,news_house,融创的孙宏斌是什么样的人？,"郭英成,孙宏斌,顺驰,宋卫平,柳传志"
9777,104,news_finance,巴基斯坦离波斯湾那么近，是否有石油？,"土库曼斯坦,原油,巴基斯坦2030展望,国际能源统计2016,巴基斯坦,探明储量,美国能源,石油"
9778,103,news_sports,梁瑞打破世界纪录 世界竞走团体锦标赛中国队首日五冠,"杨家玉,国际田联,北京体育大学,中国队,团体赛"
9779,101,news_culture,上联：老翁田野锄杂草，如何对下联？,
9783,104,news_finance,北京新机场商业蛋糕，餐饮人如何分享？,"新机场,机场店,北京新机场,机场,永和大王"
9784,102,news_entertainment,终于知道嗯哼为什么那么优秀，霍思燕就是活脱脱的一本育儿教科书,"嗯哼太可爱,心都化,霍思燕"
9785,102,news_entertainment,中国女排最新合照朱婷C位！央视名嘴：刷新了我的认知,"刘晓彤,曾春蕾,中国女排,李盈莹,朱婷"
9786,103,news_sports,这算世纪大战吧？邱建良却正确地废话：世界第一非我继续则考抢回,"世纪大战,一龙,邱建良,世界第一,播求"
9790,101,news_culture,两个小人手牵手，木棍上面齐步走，打一字,"文字游戏,水墨画,中国艺术"
9791,103,news_sports,玩阴的！勇士投诉朗多垫脚惹众怒，科尔直言：这种动作非常可耻！,"NBA,勇士,季后赛,霍勒迪,库里"
9792,101,news_culture,上联：悠悠小溪唱欢歌，如何对下联？,
9793,101,news_culture,松溪县大布村仁泽书院,"三字经,千家诗,大布村,仁泽书院,五言,龙泉,声律启蒙,千字文,增广贤文,幼学琼林,古文观止,罗汉寺,大布村史,百家姓,松溪"
9794,107,news_car,对不起众泰，我要揭露你老底了,"保时捷,皮尺部,众泰,奥迪"
9795,102,news_entertainment,娱乐圈有哪些学历高到吓人的明星？,"V字仇杀队,这个杀手不太冷,声临其境,芳华,中央戏剧学院,黑天鹅,哈利波特,赵立新,哈佛大学,娜塔莉·波特曼,哥伦比亚大学"
9797,101,news_culture,方舟子说象棋源自印度，中国古代没有大象，你认为这种说法怎么样？,
9799,107,news_car,论坛活动│谁是王者！与东南DX双雄一起见证不凡,"DX7,DX7 Prime,东南汽车,魔声,东南DX7"
9800,102,news_entertainment,《大话西游爱你一万年》主要讲述的是什么？,
9802,106,news_house,信用时代！芝麻信用分越高，你说获得的福利越多！,"信用分,人脉关系,信用卡,支付宝,芝麻信用"
9804,101,news_culture,图虫人文摄影：河北邢台南关古城墙旁，558岁的火神庙香火缭绕！,
9805,102,news_entertainment,王思聪前女友豆得儿五一探亲，爷爷拎包显示分手后过的非常不错,"旅行袋,豆得儿,前女友,王思聪"
9806,101,news_culture,白纸黑字写赤橙黄绿青蓝紫。怎么对下联？,
9807,106,news_house,使用电梯卡的电梯出现故障怎么办？,
9810,104,news_finance,大盘释放一个重大的信号：加仓！加仓！加仓！,"上证指数,妖股,沙河股份,高斯贝尔,贸易战,上证50,智光电气"
9812,102,news_entertainment,路人抓拍是照妖镜，热巴甜美，范冰冰像120斤，刘亦菲仙女本仙！,"范冰冰,女明星,刘亦菲,照妖镜,古力娜扎"
9813,101,news_culture,山海经到底出自哪个时期，是后人写的科幻小说，还是前人留下的地球奥秘？,"东方朔,司马迁,汉武帝,山海经,远古史"
9814,102,news_entertainment,世界上真有吸血鬼吗？,"尸体,吸血鬼,老妇人,卟啉,血红素"
9815,104,news_finance,宁波创业大数据：市场主体首次突破90万！,"个体工商户,宁波市,商事制度改革,市场主体,营商环境"
9818,107,news_car,普京把S600换掉了！原因只为它的出现 俄罗斯豪华车的希望来了,"S600,普京,V12,豪华车,Pullman,俄罗斯"
9823,104,news_finance,药明康德上交所IPO上市；腾讯领投优必选……｜周刊,"君联资本,华映,Portfolio,药明康德,创投"
9825,107,news_car,如今车主不用倒车影像，但后视镜装的位置装对了吗？看看就知道了,"清洗剂,暴风级,空调,防碰瓷,弥勒佛"
9827,104,news_finance,查理芒格谈人工智能：炒作过多 还不能大规模取代人类,"人工智能,巴菲特,伯克希尔·哈撒韦,和讯网,查理芒格"
9828,104,news_finance,第一套人民币最早印制的票币1000元为什没能首发,"中国人民银行,东北解放区,人民币,壹仟圆,阿拉伯数字"
9829,104,news_finance,6万车10万车最大区别什么？,
9832,101,news_culture,民国时期，人文学科大师辈出的原因是什么？,
9833,106,news_house,粤语中的‘冚家富贵’一词怎么理解？,"黄子华,冚家,冚家富贵"
9834,104,news_finance,“酒店共享布草运营管理专家”兔小二宣布完成A轮亿级融资,"达晨,科技有限公司,兔小二,达晨创投,酒店布草"
9835,104,news_finance,教你看懂区块浏览器,"UTXO,区块浏览器,Blockchain,比特币,交易记录"
9836,101,news_culture,中国女画家范一冰国画作品欣赏,"中央美术学院,中国美术家协会,春江花月台夜,中央电视台,新加坡,女画家,古都风情"
9839,106,news_house,2018年5月7日广州市网签数据,"广州市,广州,增城区"
9842,100,news_story,伟大的母亲,垃圾箱
9843,107,news_car,俄罗斯出台2025年前汽车工业发展战略,"无人驾驶,本地化,雷诺公司,电动车,俄罗斯汽车工业"
9844,102,news_entertainment,嗯哼放屁都是要去卫生间，作为家长的你，应该做出怎么样的反思？,"霍思燕,家庭教育,嗯哼,综艺节目,惊天动地"
9845,107,news_car,买皮卡车是选自然吸气的好，还是柴油发动机的好？,
9846,104,news_finance,航空观察：美国税改促使航空运输市场再起波澜,"旅客量,减税政策,税改,中国航空公司,达美航空,航空"
9849,106,news_house,合肥九区三县哪里房子比较好卖？,
9850,103,news_sports,FIFA本月将举办电竞世界杯 总奖金5万美元,"俱乐部世界杯,Xbox One,PlayStation 4,国际足联,电竞世界杯"
9851,107,news_car,名爵6的机械钥匙怎么取出来？,
9854,102,news_entertainment,安以轩深V现身活动，这是看到了什么？脸都笑变形了,"安以轩,连衣裙,安以轩深v"
9855,104,news_finance,“随薪而动，聚势前行”，2018课工场薪品战略发布会隆重举行！,"北大青鸟,北大青鸟集团,人民邮电出版社,战略合作,职业教育,课工场"
9856,106,news_house,买新房？二手房？记者帮您来盘算,"二手房,买新房,新房,买二手房,房价"
9859,102,news_entertainment,太甜蜜！泰星推哥首挑铁人三项 女友jui全程陪伴,"男星,巴蜀府,泰星,铁人三项,泰国"
9861,100,news_story,民间故事：嫂子嫌弃傻子弟弟分了家，却有美人主动上门要嫁给傻子,"民间故事,村里人,狐狸,郑老爹,郑小顺"
9862,107,news_car,能让大众吹一辈子的VR6，技术都是吹出来？,"VR6发动机,VR6,DOHC,凸轮轴,燃烧室,V6发动机,V6,SOHC"
9864,102,news_entertainment,《忽而今夏》何洛和章远为什么分手？创业失败后两人渐行渐远,"忽而今夏,章远,何洛"
9865,102,news_entertainment,婆婆盼星星盼月亮，哑巴儿媳终于怀上孕，可把一家人高兴坏了,"周少白,哑巴新娘,周少朴,林静云,赵天麟"
9866,103,news_sports,不扯淡新闻｜常在雨中跑，如何淋得少？,"润滑剂,参考系,雨跑,长方体,波士顿马拉松"
9867,107,news_car,新江淮瑞风S7将5月20日上市，增安全配置！,"江淮汽车,LDWS,瑞风,速双离合,瑞风S7"
9869,103,news_sports,火箭目前阵容中有哪些球员拥有分区决赛的经验？,
9872,103,news_sports,李宁在国外现在为什么这么火？,
9874,102,news_entertainment,许昕拿下冠军后开启艺术大门，发布首支单曲宣布“出道”！,"单曲,远大前程,熙熙攘攘,许昕,艺术家,南山南,歌手"
9875,104,news_finance,跟随它，可以躺赢,"苹果公司,白酒行业,青青稞酒,诺基亚,白酒,茅台,财哥,五粮液,泸州老窖"
9877,102,news_entertainment,当年你身边混社会的初中同学现在怎么样了？,
9878,101,news_culture,独特的低纬度冰川雪域奇观梅里雪山,"登山者,卡瓦格博,玉龙雪山,卡瓦格博峰,梅里雪山"
9879,107,news_car,50多人的小公司，员工穿睡衣，生产的车限量供应，一出门就被卖光,"Brembo,超跑,柯尼塞格,帕加尼,法拉利,Zonda,帕加尼Zonda,兰博基尼"
9882,100,news_story,16岁少女跳楼自杀，警方调查，闺蜜的一张病例揭开背后原因,"李成植,老赵,刑警队,受害者,施暴者"
9883,104,news_finance,【技术为王，创新为本】研发人员如何提高创新力？,
9884,107,news_car,国外警察在查车的时候都会摸一下车的屁股，你知道为什么吗,"警察,留下指纹,车尾箱"
9885,106,news_house,深圳都市圈十大卫星镇，您最青睐哪个？,"东莞,淡水街道,深圳,惠州南站,东莞市"
9886,104,news_finance,一份来自美国的无价礼物：只为我们国家没有乙肝,"乙肝疫苗,新生儿,基因工程,默克公司,技术转让"
9888,101,news_culture,上联：青松无衣不惧冷，如何对下联？,
9892,102,news_entertainment,吃鸡一哥董小飒要展开一段新恋情？绯闻女友晒其合影秀恩爱,"绯闻,白袜子,粉丝,小熊,撒狗粮"
9893,104,news_finance,月季花有多少品种，任何品种花都可以吃或者泡水喝吗，有哪些区别？,
9898,100,news_story,这个曾经被他嘲讽的小女人，不经意间引起了他的注意,"庄爸爸,庄妈妈,庄宁恩,不欢而散,庄宁"
9901,102,news_entertainment,农村女孩完美演绎《被情伤过的女人》歌是好歌，可是女孩演技,"被情伤过的女人,农村"
9902,107,news_car,江铃溪桥工程持续进行，江铃又在吉安造桥了,"吉安县,江铃汽车,中国汽车,江铃汽车股份有限公司,江铃•溪桥工程,江铃"
9906,103,news_sports,7岁男孩公交上用脚踢男子，男子猛摔小孩并狂踩其头部被拘留15天，你怎么看？,
9907,102,news_entertainment,错过了靳东，错过了王凯，错过了胡歌，绝不能错过这位小鲜肉！,"靳东,胡歌,老戏骨,琅琊榜,伪装者,蔡徐坤"
9911,103,news_sports,华夏有救了！世界级前锋有望今夏加盟，曾横扫西甲英超,"内格雷多,华夏幸福,埃尔纳内斯,热尔维尼奥,佩莱格里尼"
9912,102,news_entertainment,2天已破7亿《复联3》能否成首个破20亿海外片？,"复联3,超级英雄,速激,复仇者联盟2 ：奥创纪元,速度与激情8,复仇者联盟,捉妖记2,变形金刚,复仇者联盟3,蜘蛛侠,排片量,雷神2,漫威,票房,变形金刚3"
9926,107,news_car,被遗忘的一款“性能车”，1.6T+7DCT黄金组合，关键不足15万售价,"TGDI,减速带,多媒体电脑,途胜,性能车"
9927,104,news_finance,蒜头价格跌入十年最低 “蒜你狠”供过于求今非昔比,"蒜头,批发商,供过于求,价格一路,蒜你狠"
9933,103,news_sports,世界冠军退役后身家最好？不是伏明霞和赵蕊蕊，是自己当CEO的她,"彩羽侠,伏明霞,赵蕊蕊,庄泳,世界冠军,郭晶晶"
9934,104,news_finance,借条上写明以车抵押，为什么到期后不管用？,
9935,104,news_finance,细看之下，在线教育行业仍缺哒哒英语与好未来的“联姻”之道,"K12,家长帮,客成本,哒哒英语,张邦鑫"
9936,102,news_entertainment,景甜晒体重过百图，引来张继科调侃，网友：这狗粮我让都吃饱了！,"体重,演员,张继科,娱乐圈,景甜"
9944,104,news_finance,都点星球：苹果的八岁小股东达芙妮，问倒了股神巴菲特,"达芙妮,伯克希尔,创业投资,股神巴菲特,苹果公司"
9945,107,news_car,杨嵩：没有利益谈信仰，就是空谈,"宝沃,说事儿,电动汽车,杨嵩,东风日产"
9947,102,news_entertainment,尼奥升级后能力超强，史密斯开始招架不住了,"尼奥,史密斯"
9949,104,news_finance,公积金如何按照还款能力计算贷款额度？,
9951,104,news_finance,旅游人物｜90后溧阳小伙任梦龙 打造养生度假产业链,"溧阳市,农家乐,任梦龙,戴埠镇,上海"
9953,103,news_sports,赢球就登顶，国安差了一口气,"巴坎布,施密特,国安队,国安,王子铭"
9954,104,news_finance,番禺创新发展再添新引擎！华南理工大学广州国际校区项目启动,"思科,广深科技创新走廊规划,智慧城,动力源,新能源,生物医药,广州,深科技,番禺,珠三角,华南理工大学"
9956,104,news_finance,助力网络强国，中国电信引领安全上云,"数字中国,中国电信,X86,FAST,天翼云"
9957,104,news_finance,物流与采购联合会：4月全球制造业PMI回调 全球经济增速放缓,"制造业PMI,采购联合会,制造业增速,上月回落,美洲制造业"
9958,103,news_sports,国际米兰新闻日报：A米，请搬出梅阿查！,"国际米兰,国米,米兰,斯帕莱蒂,AC米兰,马塞洛"
9959,103,news_sports,恒大处罚失职员工 总经理等5人降三级工资（图）,"广州恒大,球衣,张琳芃,号球衣,张文钊"
9961,103,news_sports,齐祖拍拍手 皇马进决赛？,"莫德里奇,皇马,齐达内,帕拉西奥,排兵布阵"
9967,102,news_entertainment,那英要和《中国好声音》舞台永别了吗？,"真人秀,中国新歌声,那英,中国新,中国音乐,中国新歌手,音乐指导,中国好声音"
9969,101,news_culture,“2018中国（辽宁）·匈牙利友好周”在沈阳开幕 致力于共同搭建和谐美好的友谊桥梁,"辽宁省,匈牙利,沈阳市,辽宁,艺术家"
9971,102,news_entertainment,成龙监制，冯德伦导演的动作片，黄秋生扮演武功超群的超级高手！,"成龙,精武家庭,动作片,黄秋生,冯德伦"
9972,104,news_finance,汉狮影视传媒完成A轮融资 “隐形冠军”走向台前,"奥姆尼康,广告公司,王思远,影视广告,汉狮,广告业"
9973,101,news_culture,上联是：月下谈情虫儿听，怎么对下联？,
9975,107,news_car,兼顾驾驶乐趣与乘坐舒适性 试全新530Le,"劳斯莱斯,宝马,A6L,ADAPTIVE,SPORT,劳斯莱斯幻影,特斯拉,电动机,自适应巡航,Autopilot,530Le,驾驶者,COMFORT,幻影"
9977,103,news_sports,如何评价国乒女队教练李隼：日本差中国非一星半点？,
9978,104,news_finance,A股再现奇葩减持公告：股东要买房、还贷款,"中文在线,刘亮,王中军,施炳丰,欧普,GQY视讯,机器人,减持,华谊兄弟"
9980,104,news_finance,刘强东说“京东物流还没有真正的对手”，顺丰、邮政很难堪,"京东集团,京东物流,顺丰,刘强东,阿里"
9981,102,news_entertainment,《血观音》：以善掩恶，无爱角逐的修罗场,"修罗场,林翩翩,血观音,说书人,灭门惨案,电影节"
9987,106,news_house,沈阳被批准成为特大城市，那沈阳的房子值得投资吗？,"房价,沈阳,特大城市,房地产泡沫,房地产市场"
9990,101,news_culture,推背图真的能洞察未来吗，它的结论一一应验是怎么回事？（下）,"算命先生,袁天罡,推背图,易传,李淳风,金圣叹,卦象,易经"
9994,104,news_finance,室内儿童游乐场设备项目分为几大类？,"儿童乐园,谷儿童乐园,室内儿童游乐场,儿童游乐场设备项目,游乐项目"
9995,104,news_finance,深圳市共进电子股份有限公司,"进电子股份,中华人民共和国公司法,监事会,上海证券交易所,次会议,公司监事会议事规则,变更募集资金投资项目,公司章程,公告编号"
9996,106,news_house,王健林孙宏斌造梦东方好莱坞 均价1.5万每平米,"万达集团,封神三部曲,孙宏斌,流浪地球,东方好莱坞,怪物专卖店,阴阳师,融创中国,王健林,刺杀小说家,浮出水面,东方影都,环太平洋2"
9997,102,news_entertainment,鹿晗自夸“真的帅”，被邓超陈赫怼的面子挂不住，李晨好心圆场？,"鹿晗,李晨,跑男,邓超,划龙舟"
10000,104,news_finance,【龙虎榜】5月8日海通重庆龙华大道3370万卖出露笑科技,"东莞,东风汽车,重庆,股票,龙虎榜"
10001,100,news_story,女孩做过39次伴娘，其中包括外甥女的婚礼 称：不愿意将就,"婚礼,北上广,外甥女,伴娘"
10002,102,news_entertainment,猫妹妹替父还债买车，感谢李明霖 李明霖说猫妹妹不懂尊师重道！,"妹妹,李明霖,猫妹妹,买车"
10004,103,news_sports,不吹不黑，理性做人,"海贼王,詹姆斯,火影忍者"
10006,104,news_finance,中国-伊朗商务理事会成立大会暨第一次理事会会议在京举办,"伊朗商务理事会成立大会,中国国际商会,伊朗,中国—伊朗商务理事会,中国重汽,一带一路"
10008,106,news_house,马云又出惊人言论，8年后房子最不值钱，他的话可信吗？,
10009,104,news_finance,物数链LDBC使数字资产成为一种强大的金融工具,"物数链LDBC,时间戳,数字货币,电子商务,计算机算法"
10011,103,news_sports,迈克尔杰克逊和迈克尔乔丹谁的成就更高？,"金正日,贝克汉姆,演唱会,乔丹,迈克尔杰克逊"
10012,102,news_entertainment,孙杨牙疼直哭！求医生：让黄子韬来陪我,"黄子韬,医生,牙疼,孙杨"
10014,103,news_sports,埃及艳后是怎么死的？,
10016,102,news_entertainment,邓超孙俪，因电视剧《幸福像花儿一样》而结缘，网友：确实很幸福,"确实幸福,邓超孙俪,结缘,邓超,幸福像花儿一样,孙俪"
10018,107,news_car,用什么药能让大树死掉？,
10019,101,news_culture,例无虚发，上官金虹为什么躲不开小李飞刀，你看懂了吗,"小李飞刀,多情剑客无情剑,手中无环,孟子,李寻欢,上官金虹,兵器谱,浩然之气"
10021,104,news_finance,广发证券：A股处于慢牛格局震荡期看好周期股和大众消费,"王晓宇,广发证券,分析师,经济学家,郭磊"
10022,102,news_entertainment,《康熙王朝》容妃逝后，康熙说了句“凡看到容妃刷过马桶的人全部殉葬”，你怎么理解？,
10024,107,news_car,江淮、江汉一线这会确实下的不小！,"安徽省,江汉"
10025,102,news_entertainment,食醋在养鸡中有什么妙用？,
10029,102,news_entertainment,第三季跨界歌王，刘恺威像一首特别悠长的爵士，越品越有味道,"粉丝,歌王,刘恺威,爵士,杨幂,跨界歌王"
10032,101,news_culture,蒲松龄之《闺怨琴声》之交欢(13),"俏冤家,蒲松龄,闺怨琴声"
10033,103,news_sports,一个普通人用尽全力跑完马拉松是什么感觉？,
10035,104,news_finance,为何选择进口消泡剂？,"进口消泡剂,国内消泡剂,道康宁,消泡剂,大泡沫"
10040,103,news_sports,如何看待5月11号KPI比赛中，Hero久竞被eStar零封，hero是在演吗？,
10041,107,news_car,为什么雷克萨斯ES比宝马5系和奔驰E级卖的更好,"雷克萨斯GS,BBA,国内消费者,ES300,玛莎拉蒂,全新雷克萨斯ES,雷克萨斯,雷克萨斯ES,阿特金森,ES200,TNGA"
10046,106,news_house,资本主义基本矛盾为什么会引起经济危机？,
10049,106,news_house,不在乎你的人，你又何必在乎,"掏心掏肺,虚情假意"
10050,102,news_entertainment,陈都灵出席某活动，网友：瓜子脸确实好看！,"瓜子脸,陈都灵,瓜子脸确实好看,陈都灵出席"
10052,107,news_car,飞机轮胎那么小，为啥能承受这么大的飞机？真实原因你绝对猜不到,"轮胎,冲击力"
10053,107,news_car,盈利大跌50%进入死胡同，董事长自罚300万，2018年长城能走远？,"长城,WEY,魏建军,哈弗,长城汽车,王凤英"
10055,107,news_car,周杰伦成都演唱会，网友这样吐槽，我真的看不下去了！,"成都体育中心,周杰伦,演唱会,泥巴路,项赛事"
10058,107,news_car,318川藏线拼车价格多少，贵不贵？,"布达拉宫,稻城亚丁,丰田普拉多,然乌湖,普拉多,318川藏线拼车价格"
10062,100,news_story,农村故事：娶妻生子后和前任纠缠不清，害死了女儿，吊死了自己,"县城,搞破鞋,男盗女娼,老王,识文断字"
10063,107,news_car,免烧砖生产线的拆卸需要注意哪些问题？,
10064,106,news_house,交易成本对价格有何影响？,
10065,104,news_finance,你对数字货币有什么看法？,
10066,101,news_culture,想了解海上丝绸之路吗？市博物馆的这个图片展满足你,"博物馆,广州,广州市,南越王宫博物馆,海上丝绸之路"
10067,104,news_finance,支付宝升级后第三天了还没看到收益，该怎么办？,
10069,101,news_culture,上联：百鸟朝凤，下联怎么对？,
10072,102,news_entertainment,奥运冠军奢华婚礼：五金王集齐四大跳水皇后 一人婚纱完爆郭晶晶,"婚礼,奥运冠军,杨云,婚纱,郭晶晶"
10073,107,news_car,滴滴顺风车、内蒙跨境抓捕等事件大爆发的背后原因,"民族至上,大众哲学,抓捕事件,滴滴顺风车事件,北平市,全国学生反美大示威,大风暴"
10074,104,news_finance,现在一般的企业承认成人高考的学历吗？,
10076,107,news_car,速看！赣州文明大道南河路口通行又有新变化,赣州
10078,103,news_sports,如何评价保定明星郭晶晶？,"霍启刚,保定,路边摊,郭晶晶,保定姑娘"
10080,101,news_culture,易经中国的传统文化国粹，对于易经你又了解多少呢？,"文化,东方文明,西方文明,易经,自然科学,精神理性"
10082,100,news_story,婴儿一直哭，爸爸觉得不对劲带孩子去医院，医生说幸亏来得及时,"夫妻两人,医院,医生,小题大做,婴儿"
10084,102,news_entertainment,客观评价杨幂，赵丽颖，唐嫣，郑爽，迪丽热巴，究竟谁是一线，而谁只能屈之二线？,
10086,107,news_car,5.19上海国际房车展将出现最特别的露营方式——车顶帐篷露营,"蜜獾,露营,车顶帐篷,博园路,帐篷"
